video_id,title,channel,published_at,time_bin
1E4rBf6oNvM,“I can love myself and want to make a change for the better” – Gabriella Lascano #TEDTalks,TED,2026-01-06 19:00:01+00:00,2020+
cJfKqKEyw1o,AI is Coming for Your Job. Now What? | Vlad Tenev | TED,TED,2026-01-06 16:00:58+00:00,2020+
ZLq1SbBQRWY,Sitting All Day Is Killing You — Here’s What to Do About It | Manoush Zomorodi | TED,TED,2026-01-05 17:01:02+00:00,2020+
RX0ik6nWc58,The way you talk to yourself shapes your well-being — here's how to harness it. #TEDTalks,TED,2026-01-04 17:00:47+00:00,2020+
L2OVDJ6cDJc,What It’s Really Like to Win the Lottery | Matt Pitcher | TED,TED,2026-01-04 16:00:39+00:00,2020+
YrZqeJLJzpM,Parkour can help you rediscover your sense of play and adventure #TEDTalks,TED,2026-01-03 20:00:21+00:00,2020+
3bbSk3899Po,"The Ethical Case for Taking On the Climate Crisis | Al Gore, Wanjira Mathai and Karenna Gore | TED",TED,2026-01-03 16:00:04+00:00,2020+
_ozdlc2ouYc,This Revolutionary Moment in Space Exploration | Chris Hadfield | TED,TED,2026-01-02 16:01:03+00:00,2020+
gw0UK24zFxw,"Turns out your brain likes leg day, too #TEDTalks",TED,2026-01-01 18:00:46+00:00,2020+
0R_CJjGRX7o,The Army of Autonomous Robots Restoring Nature | Tom Chi | TED,TED,2026-01-01 16:00:01+00:00,2020+
X3EK8cR6Tas,Try this framework with your 2026 goals #TEDTalks,TED,2025-12-30 19:00:37+00:00,2020+
rGOTVtXkaRs,Can AI Uplift Entrepreneurs That Traditional Banks Reject? | Mercedes Bidart | TED,TED,2025-12-30 16:01:25+00:00,2020+
kND0iGErBk8,Will AI Make Humans Useless? | Akram Awad | TED,TED,2025-12-29 16:01:26+00:00,2020+
eJUFdB_TN0U,What if we could have AI and *not* harm the planet? #TEDTalks,TED,2025-12-28 19:00:43+00:00,2020+
3lPnN8omdPA,How to Stop AI from Killing Your Critical Thinking | Advait Sarkar | TED,TED,2025-12-28 16:00:11+00:00,2020+
Mz1ItbiNqxw,How the Fridge Changed Food | Nicola Twilley | TED,TED,2025-12-27 16:00:38+00:00,2020+
oea9KJtKejI,"Family bonding, but make it co-op mode #TEDTalks",TED,2025-12-26 19:00:56+00:00,2020+
ZkXrTHpnQrQ,Why Are People Starting to Sound Like ChatGPT? | Adam Aleksic | TED,TED,2025-12-26 16:00:54+00:00,2020+
cbPMxoe00gE,Which toy did you love as a kid? #TEDTalks,TED,2025-12-25 19:00:38+00:00,2020+
741j2Jne1EM,An Art Movement Built on Ancestral Wisdom | Jackie Lebo | TED,TED,2025-12-25 16:00:15+00:00,2020+
yI_Zm4p-6g0,Struggling communities need bold new ways to grow wealth #TEDTalks,TED,2025-12-23 19:01:04+00:00,2020+
AbmQFGTyJKA,4 Hard Truths About Capitalism and Climate | Steve Howard | TED,TED,2025-12-23 16:00:25+00:00,2020+
ChDw2Vd_bBE,“The Minister of Loneliness” | Sarah Kay | TED,TED,2025-12-22 16:00:31+00:00,2020+
J1WIKUd13D0,"When you stop living by others’ rules, you create your own #TEDTalks",TED,2025-12-21 19:45:03+00:00,2020+
kIf8MjwS1Po,3 Simple Ways to Build Stronger Relationships at Work | Alyssa Birnbaum | TED,TED,2025-12-21 16:01:18+00:00,2020+
tum_5LyL0Q4,You don’t need a spaceship to study these creatures! #TEDTalks,TED,2025-12-20 19:00:57+00:00,2020+
pp8vdZdNl2A,Is the AI Bubble About to Burst? | Henrik Zeberg | TED,TED,2025-12-19 16:01:31+00:00,2020+
Uyx8vYm9Og0,Checking the time never tasted this good! #TEDTalks,TED,2025-12-18 21:00:39+00:00,2020+
Kx6txsLiUT4,Everything You Need to Know About AI Agents | Swami Sivasubramanian | TED,TED,2025-12-18 16:00:36+00:00,2020+
97IwoIqBCZk,Extinction is starting to look a little less permanent. #TEDTalks,TED,2025-12-17 23:15:00+00:00,2020+
hZMaiUsIQog,How to Talk Truthfully About Black History | Clint Smith | How to Be a Better Human | TED,TED,2025-12-17 16:01:11+00:00,2020+
TM179asvB3Y,"9 countries, 9 speakers. One last stop: Buenos Aires. #TEDTalks",TED,2025-12-16 22:30:06+00:00,2020+
S_GuLdbMveQ,How to See (and Stop) Deforestation from Space | Tasso Azevedo | TED,TED,2025-12-16 16:00:51+00:00,2020+
gsTYBRC0iys,"How We Built Watch Duty, the Lifesaving Wildfire Alert App | John Mills | TED",TED,2025-12-15 16:01:07+00:00,2020+
rEJhJj0eLm4,Could this be a solution for humans in a world with more AI? #TEDTalks,TED,2025-12-14 19:00:50+00:00,2020+
Y54XtvEzI8I,Could We Detect Breast Cancer with a Fingerprint? | Simona Francese | TED,TED,2025-12-14 16:01:00+00:00,2020+
XsC-PNXXv0s,"If hearing your voice in a video makes you cringe, this might be the reason #TEDTalks",TED,2025-12-13 19:00:35+00:00,2020+
ptiYMxOVgRs,The Daily Practice That Could Rewire Your Brain | Timm Chiusano | TED,TED,2025-12-12 20:01:00+00:00,2020+
p8Ed8pDlAmM,How AI Can Solve Its Own Energy Crisis | Varun Sivaram | TED,TED,2025-12-12 16:01:31+00:00,2020+
UOIKYvl558w,A swipe of your finger could one day save your life #TEDTalks,TED,2025-12-11 19:00:35+00:00,2020+
vE2_KZH8fDQ,Why I Attempt the World’s Most Dangerous Stunts | Michelle Khare | TED,TED,2025-12-11 16:01:38+00:00,2020+
F63iukJiwiY,How ballerina Misty Copeland transformed adversity into legacy #TEDTalks,TED,2025-12-10 21:00:17+00:00,2020+
STUwbUCEtUw,These AI Devices Protect Nature in Real Time | Juan M. Lavista Ferres | TED,TED,2025-12-09 16:00:48+00:00,2020+
kUYeHxez06o,Big Ben has nothing on the big ideas we saw in London. 1 more stop to go! #TEDTalks,TED,2025-12-08 23:34:22+00:00,2020+
7onAN_t68t0,How Climate Shocks Could Break the Economy | Edmond Rhys Jones | TED,TED,2025-12-08 16:00:23+00:00,2020+
tSqsZbOaO_8,Economist Esther Duflo says it’s time to think seriously about getting billionaires to contribute,TED,2025-12-07 20:00:48+00:00,2020+
SjLO9ogmyQU,3 Tips to Make Your World Beautifully Wild | Isabella Tree | TED,TED,2025-12-07 16:00:54+00:00,2020+
YNeMzfhJC38,Study this video before for your next night out #TEDTalks,TED,2025-12-06 21:30:06+00:00,2020+
Pry6l7h48ro,The Thrill of Not Knowing All the Answers | Harini Bhat | TED,TED,2025-12-05 16:00:45+00:00,2020+
UQwd9_XivaE,Ever wonder what happens to your favorite malls when they close? #TEDTalks,TED,2025-12-04 20:00:35+00:00,2020+
JdS4XiNKNWY,How to Empower the Next Generation of Pilots | Refilwe Ledwaba | TED,TED,2025-12-04 16:00:36+00:00,2020+
MuSvgDpv4Io,The Brains of Altruistic and Psychopathic People (W/ Abigail Marsh) | How to Be a Better Human | TED,TED,2025-12-03 16:00:40+00:00,2020+
Hjj7Nv_0--4,Do you — or someone you know — have ADHD? Here’s @HowtoADHD to help,TED,2025-12-02 21:15:01+00:00,2020+
sleiarPAgKc,The Roots of Resilience | Misty Copeland | TED,TED,2025-12-02 16:15:13+00:00,2020+
eFroGU5wZUI,All great ideas and no bad breath here in Athens. 2 more stops to go! #TEDTalks,TED,2025-12-01 23:45:02+00:00,2020+
Bl-vPf_IAoA,We’re Doing AI All Wrong. Here’s How to Get It Right | Sasha Luccioni  | TED,TED,2025-12-01 16:00:19+00:00,2020+
wXBjUxe4Lvk,How to Raise Confident Kids in an Age of Anxiety | Lenore Skenazy | TED,TED,2025-11-30 16:01:35+00:00,2020+
RXwQ7_hlL3g,How to Unlock Your Flirting Superpowers | Francesca Hogi | TED,TED,2025-11-29 20:00:22+00:00,2020+
Fvg9sUgqbXc,"“If we can control our food, we can control our future” - Sean Sherman #TEDTalks",TED,2025-11-28 20:30:06+00:00,2020+
7WurcdAkX-A,So sometimes money really is the answer #TEDTalks,TED,2025-11-27 19:00:07+00:00,2020+
C1TqBmezv20,What If You Could Talk to Your Favorite Character in a Movie? | Christoph Lassner | TED,TED,2025-11-27 16:00:22+00:00,2020+
A6hzHov7Kng,Why Venting Doesn’t Help You Deal with Anger | Jennifer Parlamis | TED,TED,2025-11-26 16:00:28+00:00,2020+
ueaAdCKDCH0,Odds are you’ve never eaten at a Native American restaurant — this chef is trying to change that,TED,2025-11-26 04:10:06+00:00,2020+
CfPFU4UaaRA,How to Measure the Planet’s Heartbeat | Yadvinder Malhi | TED,TED,2025-11-25 16:00:30+00:00,2020+
KTM2XfNpeWA,Warning: This video might make you hungry. #Singapore #TEDx #GlobalIdeaSearch,TED,2025-11-25 00:23:40+00:00,2020+
PFhhtot1q1M,Join local Atlanta food creator Tiery Reese for a taste of the Alps in Atlanta at Avize #TEDTalks,TED,2025-11-24 22:00:33+00:00,2020+
p0IpMqUZKbs,How to Eat with Awareness and Purpose (w/ Sean Sherman) | How to Be a Better Human | TED,TED,2025-11-24 17:01:30+00:00,2020+
cesx1-XaLb8,Are people born wicked? Or do they have wickedness thrust upon them? #TEDTalk,TED,2025-11-23 19:00:43+00:00,2020+
zxKFzT6GjUk,The Secret Language of Cells — and How to “Speak” It | Chris Bahl | TED,TED,2025-11-23 16:01:37+00:00,2020+
CwfEXpoD7_I,US politics are polarized — these two governors believe there’s a better way forward #TEDTalks,TED,2025-11-22 18:00:15+00:00,2020+
YQRt9TfpetM,How Video Games Can Power Up Your Parenting | Hannah Boquet | TED,TED,2025-11-22 16:00:51+00:00,2020+
j0XdDGiZs9M,Proof that even “pointless” projects have a purpose #TEDTalks,TED,2025-11-21 19:00:54+00:00,2020+
BZflSdA4Q44,Wicked’s Costume Designer on How to Tell Stories with Clothes | Paul Tazewell | TED,TED,2025-11-21 16:00:19+00:00,2020+
Iq7avsVBI0k,“A person can never be broken” - Hugh Herr #TEDTalks,TED,2025-11-20 18:00:32+00:00,2020+
pWKggqO3VlY,How Satellites Are Supporting Farmers Across Africa | Catherine Nakalembe | TED,TED,2025-11-20 16:01:31+00:00,2020+
W8djC9GoZVw,The Surprising Science of Adolescent Brains | Jennifer Pfeifer | TED,TED,2025-11-19 16:01:01+00:00,2020+
NVwOsm1edT8,"Whether you leave or stay, your hometown is a part of you #TEDTalks #HowToBeABetterHuman",TED,2025-11-18 19:30:13+00:00,2020+
nxsrS049xaY,How to Pull the Emergency Brake on Global Warming | Mohamed A. Sultan | TED,TED,2025-11-18 16:01:17+00:00,2020+
xGJe_eRw2Ao,How to Love Your Hometown (w/ Hanif Abdurraqib and Sarah Kay) | How to Be a Better Human | TED,TED,2025-11-17 19:12:10+00:00,2020+
TK-rXyBPX7o,"Greetings from sunny, sandy Sydney for stop #5 of the TEDx Global Idea Search #TEDTalks",TED,2025-11-17 19:00:35+00:00,2020+
_V6C0SFEUO8,Touchdown! The Flag Football Movement Is Here | Troy Vincent Sr. | TED,TED,2025-11-16 16:00:56+00:00,2020+
6v48MPKzXI4,"If you’re gonna make that meeting an email, make it a good one #TEDTalks",TED,2025-11-14 19:00:06+00:00,2020+
3913fIgBFhs,What’s Behind the Rise of Far Right Politics in Europe | Daphne Halikiopoulou | TED,TED,2025-11-14 16:00:07+00:00,2020+
KIAsBq64hnQ,The New Era of AI-Powered Protein Design | César Ramírez-Sarmiento | TED,TED,2025-11-13 16:00:30+00:00,2020+
9j-Gx0ALrrY,These tips from biopsychologist @MaryPoffenroth can help you reset #TEDTalks,TED,2025-11-12 19:00:08+00:00,2020+
9o1HPx__P9w,Two US Governors — a Democrat and a Republican — on Why There’s Hope for Democracy | On the Spot,TED,2025-11-12 14:32:53+00:00,2020+
decHzqG2NX8,"How We’re Turning Pollution into Toys, Toothpaste and More | Xu Hao | TED",TED,2025-11-11 16:01:03+00:00,2020+
ikwtW-E9WLs,Try these tips to strengthen your relationship #TEDTalks #howtobeabetterhuman,TED,2025-11-11 14:30:43+00:00,2020+
DgEVtZJPCwQ,"Mumbai was so much fun — color, creativity… and more cats than I could count! #TEDTalks",TED,2025-11-10 16:49:32+00:00,2020+
nJ4RtT0T_BA,Relationship Advice from 50+ Years of Marriage (w/ The Gottmans) | How to Be a Better Human | TED,TED,2025-11-10 16:01:27+00:00,2020+
v4XF8rqEyRA,A Pastry Chef Works His Chocolatier Magic — Live | Amaury Guichon | TED,TED,2025-11-09 16:01:33+00:00,2020+
7cMcjrtK-Do,TED Talks Daily Book Club: Intentional Ambition | Rha Goddess | TED,TED,2025-11-08 16:00:09+00:00,2020+
E71_WehXapM,@ThereIRuinedIt shares how he uses AI to create remixes you didn’t know you needed #TEDTalks,TED,2025-11-07 17:00:32+00:00,2020+
PNoQzQwbTFU,Inside the Mind of a Newborn Baby | Claudia Passos Ferreira | TED,TED,2025-11-07 16:00:41+00:00,2020+
OKu0yybmtkc,How AI Is Discovering Athletes That Human Scouts Miss | Richard Felton-Thomas | TED,TED,2025-11-06 18:30:28+00:00,2020+
Wt3E7xSiuxA,Birds of a feather… FaceTime together! #TEDTalks,TED,2025-11-06 17:00:53+00:00,2020+
R4_trBh25Vk,The Flourishing Future of Women’s Sports | Kate Johnson | TED,TED,2025-11-06 16:00:45+00:00,2020+
1o7znNK19Pk,How to Recapture the Joy of the Early Internet | Michael Sun | TED,TED,2025-11-05 16:00:03+00:00,2020+
3cD0AMzflSQ,How this artist found life — and art — after alcohol,TED,2025-11-04 23:00:05+00:00,2020+
OtSwoGuz8sk,Tax the Rich — and Save the Planet | Esther Duflo | TED,TED,2025-11-04 16:00:39+00:00,2020+
9s3oyXmWHkc,Greetings from Nigeria! Who will make it to TED2026? Stay tuned! #TEDTalks,TED,2025-11-03 21:42:54+00:00,2020+
1jWA3mE5o9Y,How I Broke My Drinking Habit (w/ Edith Zimmerman) | How to Be a Better Human | TED,TED,2025-11-03 15:00:04+00:00,2020+
h3M00JI8Iwo,The Art of Reading Minds | Oz Pearlman | TED,TED,2025-11-02 16:01:00+00:00,2020+
kNelNGmQ4YM,A peek inside the minds behind true crime #TEDTalks,TED,2025-10-31 20:00:54+00:00,2020+
Qej_ZzMV5_0,Why Good People Become Bad Bosses | Jamie Woolf and Christopher Bell | TED,TED,2025-10-31 15:01:01+00:00,2020+
Hn1szUVbi-E,The line between contagion and connection is much thinner than you may realize,TED,2025-10-30 20:00:27+00:00,2020+
ojfZMid20iA,The Hidden Cost of Buying Gold | Claudia Vega | TED,TED,2025-10-30 15:01:39+00:00,2020+
6OWzmfJVloo,The Most Powerful Predictor of Team Success | Rafael Chiuzi | TED,TED,2025-10-29 15:00:23+00:00,2020+
1TJViJVSY-0,When it comes to muscles: Use them before you lose them #HowToBeABetterHuman #TEDTalks,TED,2025-10-28 20:00:02+00:00,2020+
2ZIfqLDG_Qs,The Best Thing That Could Happen to the Energy Industry | Matt Tilleard | TED,TED,2025-10-28 15:00:06+00:00,2020+
2Y3IjmFERcM,The key to life? Recognize and use the freedom you already have. #TEDTalks,TED,2025-10-27 18:00:03+00:00,2020+
YOryOy1qL00,How to Use Your Muscles — or Risk Losing Them (W/ Bonnie Tsui) | How to Be a Better Human | TED,TED,2025-10-27 15:00:58+00:00,2020+
yWj33Ud8iag,Going Viral Taught Me the Internet Is Broken — but Fixable | Deja Foxx | TED,TED,2025-10-26 15:01:40+00:00,2020+
Gt6ZYdhRW5k,Stop scrolling — it’s time to create! #TEDTalks,TED,2025-10-24 20:00:10+00:00,2020+
7kXE9a6i2dM,"Friendly Pizza, UFOs and the Joy of AI-Generated Video | Matan Cohen Grumi | TED",TED,2025-10-24 15:00:23+00:00,2020+
UGjFKRZFJHk,BTS look at how the real-life TED stage ended up in the new @Disney TRON: ARES movie #TronAres,TED,2025-10-23 20:00:23+00:00,2020+
rDQEwdinjB8,Here are 6 - 7 words you may already use #TEDTalks,TED,2025-10-23 19:00:56+00:00,2020+
DxFZ3ojl9yo,Inside India’s Astonishing Solar Revolution | Kanika Chawla | TED,TED,2025-10-23 15:00:22+00:00,2020+
1oACvP9XTRM,This clean energy solution is already live in California! #TEDTalks,TED,2025-10-22 21:00:02+00:00,2020+
n6VzKtEKs3o,How Your Brain Alters Your Reality (W/ Anil Seth) | How to Be a Better Human | TED,TED,2025-10-22 20:00:39+00:00,2020+
qGISrbDdL_g,What Happens When Your Dog Uses the Internet | Ilyena Hirskyj-Douglas | TED,TED,2025-10-22 15:31:19+00:00,2020+
dVCbISK2IIs,Turns out gains aren’t just for men #TEDTalks,TED,2025-10-21 17:00:58+00:00,2020+
NOW7jjBbkb4,The Big Idea Funding Forest Conservation | Andika Putraditama | TED,TED,2025-10-21 15:00:39+00:00,2020+
aWhWjd3o78A,Greg Lukianoff says free speech belongs to everyone — or no one. Here’s why. #TEDTalks,TED,2025-10-20 17:00:03+00:00,2020+
GUn0ocX5G-0,The Emerging Science of Finding Critical Metals | Mfikeyi Makayi | TED,TED,2025-10-20 15:00:25+00:00,2020+
T9BNSjPxeIs,"A Spicy Take On Parenting, Happiness and Sex | Negin Farsad | TED",TED,2025-10-19 15:00:58+00:00,2020+
k-9sQXhHHmk,Why Building New Proteins from Scratch Is Our New Superpower | David Baker | TED,TED,2025-10-18 15:01:30+00:00,2020+
-lq5T-aqX1g,"Your feed might not be totally honest, share wisely #TEDTalks",TED,2025-10-17 17:00:03+00:00,2020+
hn3vHUpIyhE,This TED Talk Is Full of Bad Ideas | Gabe Whaley | TED,TED,2025-10-17 15:01:31+00:00,2020+
Pj5jM6MANUo,How We Took On an Oil Giant — and Won | Melinda Janki | TED,TED,2025-10-16 15:00:46+00:00,2020+
SuaxadRqJpM,5x TED Speaker Gives You Communication Advice | Julian Treasure | How to Be a Better Human | TED,TED,2025-10-15 20:00:32+00:00,2020+
uV-uNp0XPrg,Some exciting news from Chris Anderson on TED’s next chapter #TEDTalks,TED,2025-10-15 16:47:11+00:00,2020+
Ew59SKy181Y,Are We Heading Toward World War III? | Heni Ozi Cukier | TED,TED,2025-10-15 15:00:26+00:00,2020+
SjaeHWRUu8o,Sometimes your worst moments can turn into opportunities for growth #TEDTalks,TED,2025-10-14 18:00:36+00:00,2020+
q_K-l6X2ftU,What Introverts Wish Everyone Else Knew | Shalewa Sharpe | TED,TED,2025-10-14 15:01:40+00:00,2020+
5siGd7pxJCk,This city just got a new (huge) neighbor! #TEDTalks,TED,2025-10-13 16:00:08+00:00,2020+
deAEKPbpSSY,Will Climate Change Make Your Home Uninsurable? | Amy Barnes | TED,TED,2025-10-13 15:01:11+00:00,2020+
sa2HbfP1iMg,The Link Between Evolution and Language | Richard Dawkins | TED,TED,2025-10-12 15:01:27+00:00,2020+
V2H3M_0i1Fo,TED Talks Daily Book Club: A Little Daylight Left | Sarah Kay | TED,TED,2025-10-11 15:00:52+00:00,2020+
mxBSpnE8QzA,"What happens when 2,000 years of ancient history meet today’s ideas? #TEDTalks",TED,2025-10-10 22:44:45+00:00,2020+
IKOpcSRxHxQ,The Grassroots Movement Transforming Public Safety | Aqeela Sherrills | TED,TED,2025-10-10 15:00:38+00:00,2020+
1oOMLr52YSw,Berry exciting way to help cut food waste #TEDTalks,TED,2025-10-09 17:00:07+00:00,2020+
Tb_3Vtlziuk,"Floating Farms, Sponge Cities and the Climate Solutions Already Working | Harjeet Singh | TED",TED,2025-10-09 15:00:54+00:00,2020+
7jAQlEvb6-c,Your connection to others is just as important as sleep and exercise #TEDTalks #howtobeabetterhuman,TED,2025-10-08 19:20:49+00:00,2020+
P7wNVGLKDL8,"“Marigolds,” a Poem About Wonder | Safiya Sinclair | TED",TED,2025-10-08 19:00:30+00:00,2020+
lGeoH4SaFIo,The Secret Trick to Improve Your Social Connections | Kasley Killam | How to Be a Better Human | TED,TED,2025-10-08 15:01:20+00:00,2020+
TEcJJ28Z0IQ,It’s been 2 years since Hamas’ attack on Isreal and Israel’s devastating response. When will it end?,TED,2025-10-07 20:30:06+00:00,2020+
rb8XyyFes-A,"Inside WWE’s Storytelling Machine | Paul ""Triple H"" Levesque, Patrick Talty | TED",TED,2025-10-07 15:01:35+00:00,2020+
6E82LDmdnxo,Inside the Gaza Peace Plan | TED Explains the World with Ian Bremmer,TED,2025-10-06 23:26:23+00:00,2020+
4iKQj1THwSM,This doctor figured out how to cure himself — and now he’s using AI to cure others #TEDTalk,TED,2025-10-06 19:00:09+00:00,2020+
ACC5KCPRt_U,Most Countries Fail at Clean Energy. Here’s How Mine Succeeded | Sebastián Kind | TED,TED,2025-10-06 15:00:17+00:00,2020+
tC7ZfO1_x9M,The Life-Saving Secrets in Your Baby’s DNA | Robert C. Green | TED,TED,2025-10-05 15:01:26+00:00,2020+
n--KABNiV4g,Your Zip Code Shouldn’t Determine Your Lifespan | Dion Dawson | TED,TED,2025-10-03 15:01:28+00:00,2020+
E9Pfdtp_y24,Has nature written the ultimate nightmare fuel? #TEDTalks,TED,2025-10-02 18:00:23+00:00,2020+
FxpONecbsZQ,Why We Need to Know Our Lives Matter | Jennifer Wallace | TED,TED,2025-10-02 15:00:34+00:00,2020+
N3m2n9-Vftc,School is in session — and Sheryl Lee Ralph is here to make sure you succeed #TEDTalks,TED,2025-10-01 21:00:28+00:00,2020+
dJIw-hljICY,The Wonder of Weightlifting | Jaime Seeman | TED,TED,2025-10-01 20:00:35+00:00,2020+
_CkaeM4zN-g,How to let your kids go – so they can grow | Lenore Skenazy | How to Be a Better Human | TED,TED,2025-10-01 15:01:13+00:00,2020+
t8AWKLu-hRs,One speaker from each city will get the chance to speak at TED2026. Who has what it takes? #TEDTalks,TED,2025-09-30 21:42:57+00:00,2020+
