video_id,status,n_comments,error
Iq7avsVBI0k,ok,43,
pWKggqO3VlY,ok,20,
W8djC9GoZVw,ok,59,
NVwOsm1edT8,ok,4,
nxsrS049xaY,ok,19,
xGJe_eRw2Ao,ok,15,
TK-rXyBPX7o,ok,0,
_V6C0SFEUO8,ok,47,
6v48MPKzXI4,ok,11,
3913fIgBFhs,ok,286,
KIAsBq64hnQ,ok,11,
9j-Gx0ALrrY,ok,5,
9o1HPx__P9w,ok,71,
decHzqG2NX8,ok,24,
ikwtW-E9WLs,ok,9,
DgEVtZJPCwQ,ok,6,
nJ4RtT0T_BA,ok,69,
v4XF8rqEyRA,ok,153,
7cMcjrtK-Do,ok,16,
E71_WehXapM,ok,15,
PNoQzQwbTFU,ok,50,
OKu0yybmtkc,ok,15,
Wt3E7xSiuxA,ok,34,
R4_trBh25Vk,ok,23,
1o7znNK19Pk,ok,33,
3cD0AMzflSQ,ok,5,
OtSwoGuz8sk,ok,78,
9s3oyXmWHkc,ok,1,
1jWA3mE5o9Y,ok,38,
h3M00JI8Iwo,ok,500,
kNelNGmQ4YM,ok,409,
Qej_ZzMV5_0,ok,31,
Hn1szUVbi-E,ok,9,
ojfZMid20iA,ok,31,
6OWzmfJVloo,ok,11,
1TJViJVSY-0,ok,5,
2ZIfqLDG_Qs,ok,177,
2Y3IjmFERcM,ok,10,
YOryOy1qL00,ok,36,
yWj33Ud8iag,ok,39,
Gt6ZYdhRW5k,ok,14,
7kXE9a6i2dM,ok,61,
UGjFKRZFJHk,ok,8,
rDQEwdinjB8,ok,20,
DxFZ3ojl9yo,ok,195,
1oACvP9XTRM,ok,22,
n6VzKtEKs3o,ok,84,
qGISrbDdL_g,ok,33,
dVCbISK2IIs,ok,32,
NOW7jjBbkb4,ok,18,
aWhWjd3o78A,ok,27,
GUn0ocX5G-0,ok,16,
T9BNSjPxeIs,ok,44,
k-9sQXhHHmk,ok,13,
-lq5T-aqX1g,ok,15,
hn3vHUpIyhE,ok,188,
Pj5jM6MANUo,ok,101,
SuaxadRqJpM,ok,13,
uV-uNp0XPrg,ok,30,
Ew59SKy181Y,ok,500,
SjaeHWRUu8o,ok,3,
q_K-l6X2ftU,ok,27,
5siGd7pxJCk,ok,10,
deAEKPbpSSY,ok,34,
sa2HbfP1iMg,ok,88,
V2H3M_0i1Fo,ok,11,
mxBSpnE8QzA,ok,10,
IKOpcSRxHxQ,ok,20,
1oOMLr52YSw,ok,9,
Tb_3Vtlziuk,ok,21,
7jAQlEvb6-c,ok,16,
P7wNVGLKDL8,ok,15,
lGeoH4SaFIo,ok,47,
TEcJJ28Z0IQ,ok,9,
rb8XyyFes-A,ok,105,
6E82LDmdnxo,ok,21,
4iKQj1THwSM,ok,8,
ACC5KCPRt_U,ok,24,
tC7ZfO1_x9M,ok,17,
n--KABNiV4g,ok,15,
E9Pfdtp_y24,ok,4,
FxpONecbsZQ,ok,40,
N3m2n9-Vftc,ok,7,
dJIw-hljICY,ok,98,
_CkaeM4zN-g,ok,12,
t8AWKLu-hRs,ok,8,
O8ocrq7vruY,ok,0,
vd2AklBK-GA,ok,40,
wb1PFvMZD6c,ok,12,
iKWA55i_2eI,ok,11,
SbZfCQWdIDk,ok,9,
WDmGAnRIaiA,ok,20,
4fJMAaSJLxQ,ok,4,
t9RRh_YkALE,ok,5,
XyiPDoCjO4s,ok,19,
htNMTxj_qE8,ok,365,
aEsikH322n4,ok,66,
RfSiAKIRI7U,ok,5,
FG0dYhiTGLI,ok,15,
J5pd_vZYVFk,ok,8,
NYQEeiz-n7I,ok,18,
dvLnIecUNL8,ok,52,
Dc-qLbh30D0,ok,18,
sb34MfJjurc,ok,111,
qHsXWoW86cc,ok,7,
CDs2d3dJtYk,ok,500,
ESkB4_8YClI,ok,36,
Qu6xTcDmEs0,ok,5,
bGhSZLdGFEQ,ok,10,
vzDaaHfTIcw,ok,9,
BzUb5MOysLo,ok,19,
P8ewXLXrTHM,ok,40,
0DRTVZn2dyo,ok,12,
EnbfoFUFm2s,ok,182,
UmX4M4Np43A,ok,500,
4PVctQgFotE,ok,4,
JreonVbDICI,ok,13,
l5aRf9wj3wg,ok,8,
7z7d3UIMiEY,ok,15,
azW8XQ2FoXM,ok,10,
mhLWUjB2ox4,ok,500,
EGM-b1bhqkY,ok,15,
m8VTL7jXleg,ok,25,
ubpwIWAuIxQ,ok,11,
iSUZjXiGHpQ,ok,31,
whaesnYloMQ,ok,162,
LAjACL6-Yd4,ok,22,
aakITN-2rXc,ok,3,
moZMjD3imN8,ok,23,
K6SB7RTXGAQ,ok,13,
aw59Z8v3LX0,ok,294,
3kkMPD744dY,ok,29,
x7kCPs1LwbY,ok,28,
sR21Ysgfpzo,ok,13,
kAFBhYRlkZc,ok,11,
gN07gbipMoY,ok,137,
l5A5sa1NoPA,ok,12,
6cJViq5lGBw,ok,28,
y0xn1C6ALvo,ok,27,
_LDAnryI0Hw,ok,16,
GZKU7TgR6IU,ok,158,
Bq7OK-I4aUs,ok,7,
nYm_NroGXH0,ok,8,
kDCXC31m7r0,ok,17,
oBP07G7PL-k,ok,20,
QQkP9qVM5gI,ok,3,
ZZ0BOEOtD2U,ok,414,
vWDrFjKHGMY,ok,23,
uWzDgjLfa4E,ok,18,
vhvyid7vVoQ,ok,19,
erM_s_Dtqvc,ok,25,
5GVqOpLDA8c,ok,29,
WknzP23-y_Y,ok,35,
BP-iMAAZdHQ,ok,9,
5MyCtvSBATI,ok,23,
E74FQTMWPVw,ok,29,
UHzWmELztPs,ok,32,
Z0PeLwgy_Xo,ok,13,
sQvDPZn-F8A,ok,18,
zYg6bLCBMxY,ok,42,
DHO1o5F-pLw,ok,11,
O29X1Ls8KoA,ok,25,
-0aZ2TmrsX8,ok,500,
HYepzb4-FWI,ok,42,
ts0Q_HNo_LA,ok,42,
_8BKbEbwCLE,ok,23,
ZdhSeoqPJ1g,ok,12,
OrNqEcNkoF0,ok,22,
AJCRcBx3Xpk,ok,11,
-OAP0ho5AUg,ok,41,
aZ5Kuowfc4g,ok,60,
MWjm_zvdYdI,ok,89,
dx-vObCdxRI,ok,54,
nE1fRDYjwwU,ok,35,
okSk0lbMWQc,ok,2,
v4ThfAHpMTE,ok,14,
BeUTAFHlKQ0,ok,98,
443yrCLHf8s,ok,11,
L_3KmTevD5o,ok,391,
y6ymtVfKIfI,ok,17,
ZhruqkPeJ6o,ok,96,
3pa3EjAqDXA,ok,35,
tpa7eWBoPdg,ok,14,
oTY_r-N49DA,ok,17,
noVNEeU5CS8,ok,16,
Ki5AcnSWbSs,ok,63,
eZ1PdfBPyL0,ok,20,
cjG0m9QUF34,ok,27,
IVxXWjbDQXQ,ok,14,
q5_PrTvNypY,ok,500,
7Xbm2F64_c0,ok,21,
YnailukMUGw,ok,9,
dOtN6IQv3uw,ok,20,
DM6UVe5jsxA,ok,163,
qpVvo3svuJc,ok,17,
u0fFIJapsRY,ok,26,
mKkXUV343PQ,ok,26,
GdVCAcCMqVA,ok,14,
LkKOmzdaoH8,ok,10,
rmASLb_Yn5Y,ok,439,
l8QqI25FBrc,ok,35,
UbzsTXDvhAQ,ok,17,
noWh8SSeRCo,ok,70,
Dp_MbiueqjI,ok,31,
FvKeHcpps1Y,ok,97,
MeWAG1QH5sg,ok,2,
NlLmAbt7Q9k,ok,2,
9tQPo-18jC8,ok,3,
Ztx0Bch3h9s,ok,500,
LJop58DzgFs,ok,27,
1IAaKLAVysQ,ok,56,
hMAU8do7azU,ok,14,
Mq1S5gEztHE,ok,18,
fkOMupkw5D8,ok,54,
R0AmSjmb1Zk,ok,7,
eafeQYppKmw,ok,32,
gssX0xSDb8k,ok,33,
jLkKo9o-jcY,ok,18,
RX6UMSt1RVQ,ok,10,
DUfobESjj6s,ok,36,
4NzfiiMDtYo,ok,15,
Zf2UTGOKHKw,ok,15,
Aa7tNxxZuu0,ok,16,
akXpn8xHwkY,ok,124,
xesXSrkLLNk,ok,18,
iLhFAWKCE0M,ok,334,
GvG40fNtd2E,ok,322,
ZAnLIXNbD9M,ok,8,
0ZLLoNYEYfs,ok,500,
lq5rg_0o_h4,ok,12,
saTGDtFQAMI,ok,51,
cHBBSmGdy0s,ok,9,
hxms1R9zy5k,ok,20,
plbqT4dBNwo,ok,31,
KTrSJgM2-xU,ok,5,
D3I8ZeiLX2s,ok,43,
dMQHhaHLq7k,ok,14,
DEBo0hG8shE,ok,24,
gHbzWy-5i3I,ok,9,
IHrGK3Mu5K4,ok,243,
n1xXeGokRXA,ok,4,
qhuZvtb0cbE,ok,48,
WCnqWo3rKmg,ok,7,
jHRoBLZ0GMw,ok,16,
leaxVE3qF6g,ok,17,
G4ecYUNkncE,ok,25,
vXxBREW8XAI,ok,52,
LKBiHbU63UE,ok,37,
y6Sf42fGfuE,ok,44,
d7IVBOBd3BI,ok,26,
H7G8Q4m3ULo,ok,2,
lbLVjwq_J3o,ok,24,
S5cHNgIMJxA,ok,6,
GU2KgpW0SOE,ok,10,
iKdLYuOorE0,ok,500,
I_bKcljIzU4,ok,4,
upTE6wk6ZfE,ok,26,
h6gBU7BnQeY,ok,33,
PBahaC1RjRs,ok,9,
9tPDGc1-ilw,ok,18,
g1KQ9SCKkVk,ok,18,
7-svUM0cX78,ok,13,
Q-EDeUBNqRw,ok,4,
lCB-BmRJsLs,ok,19,
SbVm1ZWyXuY,ok,23,
YPQ-jHxcSqc,ok,14,
30SmyLqZ1vw,ok,29,
nslELMUyQmA,ok,24,
WBOtQvqWpcg,ok,60,
z41OYnUeQjw,ok,9,
qe9QSCF-d88,ok,500,
wYiiQrl8N20,ok,58,
We0x2EaVwkY,ok,20,
IzTpuucqim0,ok,72,
QSKjD84Z6Rc,ok,104,
RSZl57aKxEc,ok,7,
id4YRO7G0wE,ok,500,
CNO8GI0Ka-o,ok,43,
snUI2AML9NQ,ok,52,
Jb5VTn5D3ao,ok,73,
F60F3wAPUWo,ok,23,
Mq0_g-vCwb4,ok,25,
cvRtK485EcM,ok,22,
Tob_DDLXImM,ok,24,
YPvP_C4qy0E,ok,364,
g1L42P6rGQY,ok,14,
7Yhft2Tuyeg,ok,20,
DgAh3a2zS8M,ok,5,
VRAlpK8IGLE,ok,21,
p7u1n54_yQc,ok,70,
qTAra6vdVDY,ok,10,
GZBPCwx7glk,ok,6,
dfbEVbHCCrE,ok,19,
UNQCzhdg0A0,ok,39,
E3Yo7PULlPs,ok,500,
6kPHnl-RsVI,ok,500,
689wnA1ZuVo,ok,5,
hnygd-8rriU,ok,500,
aJVZQqAAlzw,ok,29,
QUQUZLx4j_U,ok,19,
lKsvLGdoIH8,ok,109,
zWfkFEHe9QY,ok,17,
ooMXEwl7N8Y,ok,500,
GjtqcYOtxhA,ok,6,
hqpKUkYqreM,ok,135,
QXGTNROtJkY,ok,60,
shgYbdOVgpY,ok,29,
tpAG2eZZGxo,ok,36,
gElClXpg4J0,ok,500,
_D8YJ6opZYU,ok,16,
bxbQkaIB8PA,ok,20,
Jc97OeIpaEY,ok,35,
4fOWQfzWHbc,ok,49,
sexqiDz8fWs,ok,47,
p3uBMqCPSDk,ok,500,
6mck0ycBYAo,ok,17,
5MWT_doo68k,ok,500,
C8Iwvgj7Xwk,ok,29,
TZOoT8AbkNE,ok,500,
1WXh_9S3q2c,ok,13,
PsFlp3u74mI,ok,36,
OgK5eQQIUGQ,ok,25,
t8qtf2lc8FU,ok,7,
-k-bg0q3NNw,ok,32,
81_20RfdX3c,ok,11,
r4n79ZRepi8,ok,72,
-074mbRqFrA,ok,9,
C4QMPhiF_as,ok,45,
n8QoLnT4ygo,ok,84,
oJ0Nec57-08,ok,7,
eMiPKpXbm9A,ok,23,
ADAmTm_45uk,ok,27,
adza_PZiBNA,ok,12,
K_RSZC0s8a4,ok,196,
BIbAyapnfOI,ok,22,
utTlli1Ett0,ok,17,
G1DmWN4EH5M,ok,7,
q3_AS6GM2Cs,ok,45,
gdEeSfi1ywI,ok,8,
4lxyPcI7kn0,ok,18,
7CL8OgCs80I,ok,6,
VjegFh1zhY4,ok,41,
lZTBIO3OtYc,ok,38,
otNea-jNmXU,ok,26,
bRyFB4mQHzY,ok,17,
hO_v--mXE4M,ok,15,
LsojAy3i1gE,ok,13,
yvf6xqSkAcY,ok,96,
p0Nag5w42ys,ok,22,
jc0tTOhRVe0,ok,61,
FN6JIyntwR0,ok,15,
uxQ0OoyaALQ,ok,13,
U9d0p96N1iw,ok,500,
lrUQn26zp_c,ok,33,
DHL6_DebL1Q,ok,35,
OTIx-2udf6Y,ok,21,
1Jid5LoQMIU,ok,13,
LpSDuDIaBGk,ok,231,
cIu8Xo5yHlI,ok,11,
qvHVHSLR9-I,ok,3,
zeuXA5Ysof8,ok,19,
9IFo0WjDvL4,ok,33,
5gVTwb3ebAI,ok,45,
NMfZ4ePmJks,ok,17,
caNLVaD25pU,ok,60,
RUdpj0CCD3Y,ok,33,
3EFzlN0qSBg,ok,11,
_m8jRiOpcTA,ok,71,
nTNdC8UMcCg,ok,22,
Vy87Mkix2WY,ok,15,
uuviC8Uoh1Y,ok,41,
9ymdXNsJT_s,ok,7,
gzzEUm_78Qw,ok,44,
-LeIIjOMP-c,ok,20,
CA028e-idL0,ok,39,
vVAG4BjNbKs,ok,11,
6F2DLThsEGE,ok,17,
3SOj_TeukHw,ok,13,
6wCml0g2mRE,ok,121,
aOdaKzE8v-4,ok,9,
0-F3ufYQgNk,ok,500,
Qvm9k5Wnafs,ok,38,
AUL2pMTLIZc,ok,16,
cTnPqgL8ZPs,ok,141,
FFYD5s-SSYk,ok,22,
Z9VovH1OWQc,ok,79,
4GpNYaDkBcs,ok,18,
VopoxAqteGY,ok,36,
xb0nLpdWttA,ok,218,
rHUJAlMa7qI,ok,30,
2JMuljrVrSI,ok,38,
ZxCY6RF_ZB0,ok,8,
MG9oqntiJKg,ok,161,
Y06CZUf3cm0,ok,28,
8Nv8qjSSkJs,ok,12,
gp_ChjQQPnU,ok,29,
uY-NteGiQP4,ok,13,
UoJPsI1N-54,ok,25,
cYa6QYGXqu4,ok,394,
BBHnLH98bNg,ok,41,
6MPxJ6hQgpI,ok,12,
yVq8r9w29DI,ok,36,
Hz00x3FAD1E,ok,16,
Cr6kzbIwxdU,ok,47,
FvuTe8nL6OE,ok,13,
4JlCcR3lumA,ok,56,
71dsyj5pWEo,ok,37,
CPszftsUGVM,ok,69,
rsL4vztsChc,ok,88,
MsKU2BY6yHQ,ok,75,
FYxChz-CWJY,ok,7,
xNWZrR3sDfQ,ok,88,
YLx3Ryv9THw,ok,41,
9ILMJYAusa0,ok,26,
TcWVILjbDIY,ok,30,
MD4W_e3dJPs,ok,184,
umhBo4U6XEI,ok,12,
MQD0RKYcR6c,ok,255,
ZmNpeXTj2c4,ok,268,
okSG9QaqY1o,ok,50,
xDDfUWic4CI,ok,18,
I71y0Vwlc8Y,ok,33,
CrEhGIBCAPU,ok,52,
yHGRBTZI6w0,ok,61,
DbaBpXa9dH0,ok,15,
6mh92_lU0W4,ok,23,
zVgQf2v_68M,ok,42,
BsVhgta2WAo,ok,331,
HSgQHH2YBxw,ok,107,
Ap8jdNqrib0,ok,17,
KEz7EZcfVts,ok,117,
Zyw_amifsxE,ok,29,
-w4JrIxFZRA,ok,156,
ros3INVOQEU,ok,34,
6lDe9XenH1Y,ok,44,
AbpNlshqtJc,ok,99,
ojZav0u29B4,ok,14,
X0bKCMgAUOg,ok,19,
cfKFbh8LPvU,ok,55,
V56A6SHbI1Q,ok,40,
I5oeY5O5oJI,ok,48,
d2-0S67JIeQ,ok,10,
Ne-1bg2Ifn4,ok,29,
mxdJMIog5y8,ok,30,
GTmQF2ABid0,ok,72,
U509hHthip8,ok,427,
vgigO1XgyRo,ok,101,
UG1eW81y7Ac,ok,15,
T9AIbF4cED8,ok,14,
I2s4msDXNgw,ok,128,
_hZseWeLSFY,ok,22,
FiQ2XtAYQsw,ok,19,
GVdzOw_8pFE,ok,35,
L3AcHdBpUCo,ok,13,
fHDy7Jzp-5I,ok,32,
lY7e3CDPY4g,ok,44,
WR3AEXxYzFE,ok,10,
0Vjh5d5rez0,ok,113,
pbHoznf00RE,ok,12,
hg_xzFJ4ZAA,ok,128,
hKx4HGfNgCg,ok,16,
lkMV6SxilXc,ok,22,
QsXfQW9LrjA,ok,21,
9lLqGTmDdQc,ok,13,
lRNNcBHuxP4,ok,5,
p-Yd4PdmYzg,http_error,0,"<HttpError 403 when requesting https://youtube.googleapis.com/youtube/v3/commentThreads?part=snippet&videoId=p-Yd4PdmYzg&maxResults=100&textFormat=plainText&key=AIzaSyBYlD1YuyrGaWJ_YDEqMFOEYwzbBwegmaU&alt=json returned ""The video identified by the <code><a href=""/youtube/v3/docs/commentThreads/list#videoId"">videoId</a></code> parameter has disabled comments."". Details: ""[{'message': 'The video identified by the <code><a href=""/youtube/v3/docs/commentThreads/list#videoId"">videoId</a></code> parameter has disabled comments.', 'domain': 'youtube.commentThread', 'reason': 'commentsDisabled', 'location': 'videoId', 'locationType': 'parameter'}]"">"
7aV8kHMS5yw,ok,12,
E7hwoDHfU28,ok,55,
qsnbJZQAD-k,ok,251,
mhXGbNx63vk,ok,11,
kZeVIJqW1ts,http_error,0,"<HttpError 403 when requesting https://youtube.googleapis.com/youtube/v3/commentThreads?part=snippet&videoId=kZeVIJqW1ts&maxResults=100&textFormat=plainText&key=AIzaSyBYlD1YuyrGaWJ_YDEqMFOEYwzbBwegmaU&alt=json returned ""The video identified by the <code><a href=""/youtube/v3/docs/commentThreads/list#videoId"">videoId</a></code> parameter has disabled comments."". Details: ""[{'message': 'The video identified by the <code><a href=""/youtube/v3/docs/commentThreads/list#videoId"">videoId</a></code> parameter has disabled comments.', 'domain': 'youtube.commentThread', 'reason': 'commentsDisabled', 'location': 'videoId', 'locationType': 'parameter'}]"">"
n5UribH66-Q,ok,12,
oD50pUZFEbo,ok,114,
nIYFaYrTY-c,ok,16,
amtBUvkweEA,ok,252,
sLapoMlHOeY,ok,131,
2BUSGopaejM,ok,10,
bsxJVgb6Kls,ok,105,
YL5mJAGGsjY,ok,13,
fPE9ujLIAkI,ok,10,
Fq0jpQrTEFs,ok,11,
0jBhEPtC0fk,ok,15,
ytDCS6cwgX4,ok,24,
uq-deRtvedI,ok,60,
nT1MYWOFgJo,ok,42,
pMgqSJP9dN8,ok,45,
YXtXr0mX-ZU,http_error,0,"<HttpError 403 when requesting https://youtube.googleapis.com/youtube/v3/commentThreads?part=snippet&videoId=YXtXr0mX-ZU&maxResults=100&textFormat=plainText&key=AIzaSyBYlD1YuyrGaWJ_YDEqMFOEYwzbBwegmaU&alt=json returned ""The video identified by the <code><a href=""/youtube/v3/docs/commentThreads/list#videoId"">videoId</a></code> parameter has disabled comments."". Details: ""[{'message': 'The video identified by the <code><a href=""/youtube/v3/docs/commentThreads/list#videoId"">videoId</a></code> parameter has disabled comments.', 'domain': 'youtube.commentThread', 'reason': 'commentsDisabled', 'location': 'videoId', 'locationType': 'parameter'}]"">"
GRgqbsP_-uw,ok,69,
YbnS39GAcQo,ok,86,
VEgltjydwZ8,ok,70,
g3AU44HfpfE,ok,114,
do27uAjfKbg,ok,64,
Nh1QvWm0BrQ,ok,20,
dDKozwjlt-Q,ok,43,
SoI9-PP5Tmk,ok,45,
dzBj5rRmTv8,ok,15,
HLwvyD1MbSM,ok,42,
Tq6_7XyCyyI,ok,291,
wRa3sycERxA,ok,64,
UFNRxEmoMaw,ok,29,
1Bj-zXkVi68,ok,59,
YKufhUZRJ1E,ok,72,
44lbeIb6TjA,ok,26,
MMaWtHnyP04,ok,30,
VuJbzKpbIVk,ok,500,
vh8q8ySORFs,ok,145,
hHYe3O7_TUA,ok,38,
PYRFxrLt30A,ok,14,
JfiYXgy_ksA,ok,13,
OjuYFNR1aWo,ok,78,
YP-iH-7WRLI,ok,338,
2LkDU0iKaro,ok,28,
HDHbjYNBwXI,ok,481,
mawrdgeE1ig,ok,31,
RmXrwKydM9k,ok,500,
Efp1EiSwDO4,ok,31,
Kcq-FxK-GK0,ok,19,
wUpZ181ATfI,ok,22,
DnqNS6fThuY,ok,63,
cbtkoZUOR1A,ok,27,
JfeRLwlnuHo,ok,137,
x6oM9hQMjUY,ok,42,
PnBMdJ5KeHk,ok,35,
TiwcAjRuhoE,ok,36,
WrxJKj71c9o,ok,21,
jFl9kFms7nA,ok,56,
08xsHXDR2aI,ok,11,
Z6bxX3mcfJg,ok,73,
sgHHRVH0NFo,ok,288,
Y1kO-0Yo1R0,ok,26,
4R7mX6pChSA,ok,190,
_cPj3b9BDPI,ok,500,
6ZvQYH-d1To,ok,8,
hktbamn2jX4,ok,34,
M9SW1EhUTsM,ok,61,
u6m2rwNfkrU,ok,28,
V3Cav6WhwZc,ok,79,
WicBE2Uwz0A,ok,179,
1GRt0j698T4,ok,35,
vNCVrtwrAWg,ok,29,
RsXLT2z3X8g,ok,109,
cYW8ntaw_v8,ok,9,
PkGCtSkbnjQ,ok,16,
8jkFNm8lKOs,ok,49,
VDP27kIe7-s,ok,311,
I-B_Oa6_eNU,ok,97,
fl89SKJoH00,ok,12,
HsmOJ4Xbfp4,ok,67,
RAh0Q3XsB6w,ok,19,
jx4q82a6jHc,ok,36,
G37VO1yeVEo,ok,43,
JpytM780stk,ok,46,
hTnJYRMixKs,ok,137,
IMC8jmEXHfk,ok,53,
wLvGABoTV-s,ok,45,
P_8l1WAJ2Mw,ok,25,
CeUoS2T2hhc,ok,20,
mGeGLLsiy44,ok,85,
KNEGWrD08f8,ok,102,
6iqXH9RPK1w,ok,25,
tt0HOe7gf7I,ok,314,
sUv353ua7E8,ok,68,
Rcm9u9CdK10,ok,33,
MHZMQLDr-OA,ok,500,
yTcn-zE41pc,ok,4,
bB33OBc-U6A,ok,34,
kIFOiF9Q4VM,ok,31,
Fh4YXJ-cqus,ok,35,
QjpaJpMd5NU,ok,25,
1bB86TOKljk,ok,23,
v5OQeUwXlV4,ok,34,
HYnZy2Cx7UM,ok,80,
EjNV6JwlV2s,ok,386,
Hfejyq5nrvE,ok,19,
c_YLAhZpfMI,ok,20,
7GN10u6F9m0,ok,131,
2gOvQIMWbCY,ok,54,
g5j9XKkDo-w,ok,26,
LUaaGfCCfPE,ok,14,
DdlTvyQl5ws,http_error,0,"<HttpError 403 when requesting https://youtube.googleapis.com/youtube/v3/commentThreads?part=snippet&videoId=DdlTvyQl5ws&maxResults=100&textFormat=plainText&key=AIzaSyBYlD1YuyrGaWJ_YDEqMFOEYwzbBwegmaU&alt=json returned ""The video identified by the <code><a href=""/youtube/v3/docs/commentThreads/list#videoId"">videoId</a></code> parameter has disabled comments."". Details: ""[{'message': 'The video identified by the <code><a href=""/youtube/v3/docs/commentThreads/list#videoId"">videoId</a></code> parameter has disabled comments.', 'domain': 'youtube.commentThread', 'reason': 'commentsDisabled', 'location': 'videoId', 'locationType': 'parameter'}]"">"
af_ZpYOk7-Y,ok,4,
QpzykxnCtvM,ok,29,
qDFNgc8jsrc,ok,35,
XTlDS7ju_28,ok,51,
g3CvsPAF3_0,ok,79,
Vl6VhCAeEfQ,ok,500,
XgpdInYDs-U,ok,26,
DAEuBdObOok,ok,19,
69hJ9zN4t3g,ok,30,
